name,url,type_food,location,rating
Wolfnights - The Gourmet Wrap,https://www.yelp.com/adredir?ad_business_id=kBIbwJ0hTzSqZ9Crv5e6FQ&campaign_id=Tg8E_1SHN-yNeemsBtMvWA&click_origin=search_results&placement=vertical_0&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fwolfnights-the-gourmet-wrap-new-york-10&request_id=e57931369c3fc8a8&signature=165f5f4dcb9a03bb4c6772578094b51b434351540ef7c7cbf5add98aca0738dd&slot=0,"Halal, New American, Mediterranean",,4.1
Meduza Mediterrania - New York,https://www.yelp.com/adredir?ad_business_id=H-GCfdIpY8qdoKwQ9C69hw&campaign_id=6b26n9CXSll-qExU1QUltQ&click_origin=search_results&placement=vertical_0&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmeduza-mediterrania-new-york-new-york-2&request_id=e57931369c3fc8a8&signature=6320fedfd2aa86a701bdfc8dcf1b0ee06638d9d06b3c9e09fc999cf27af21357&slot=1,Mediterranean,,3.8
Au Za’atar,https://www.yelp.com/biz/au-zaatar-new-york?osq=Best+Halal+Restaurant,"Wine Bars, Lebanese, Mediterranean",East Village,4.2
Top Thai Vintage,https://www.yelp.com/biz/top-thai-vintage-new-york-3?osq=Best+Halal+Restaurant,"Thai, Halal, Cocktail Bars",West Village,4.5
Ariana Afghan Kebab Restaurant,https://www.yelp.com/biz/ariana-afghan-kebab-restaurant-new-york?osq=Best+Halal+Restaurant,"Afghan, Halal, Kebab",Hell's Kitchen,4.2
The Munchies,https://www.yelp.com/biz/the-munchies-new-york-2?osq=Best+Halal+Restaurant,"Chicken Wings, Halal, Sandwiches",,4.4
The Halal Guys,https://www.yelp.com/biz/the-halal-guys-new-york-2?osq=Best+Halal+Restaurant,"Food Stands, Middle Eastern, Halal",Theater District,4.2
Baar Baar,https://www.yelp.com/biz/baar-baar-new-york-2?osq=Best+Halal+Restaurant,"Gastropubs, Indian, Cocktail Bars",East Village,3.9
Fogo de Chão Brazilian Steakhouse,https://www.yelp.com/biz/fogo-de-ch%C3%A3o-brazilian-steakhouse-elmhurst-6?osq=Best+Halal+Restaurant,"Brazilian, Seafood, Steakhouses",Elmhurst,4.1
Adobo Mexican Grill,https://www.yelp.com/biz/adobo-mexican-grill-brooklyn?osq=Best+Halal+Restaurant,"Tacos, Halal",,
Paratha Wala,https://www.yelp.com/biz/paratha-wala-forest-hills-2?osq=Best+Halal+Restaurant,"Indian, Halal, Bangladeshi",Forest Hills,4.6
Dar 525,https://www.yelp.com/biz/dar-525-brooklyn?osq=Best+Halal+Restaurant,"Mediterranean, Middle Eastern, Kebab",Williamsburg - North Side,4.3
Panera Bread,https://www.yelp.com/adredir?ad_business_id=YTolZPHDAfNXlyMpQzRzWg&campaign_id=oZE8KbQGTMYaLqmqX4oJ8w&click_origin=search_results&placement=below_search&placement_slot=2&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpanera-bread-new-york-21&request_id=e57931369c3fc8a8&signature=05e7bb86fbf4204b1551ff1bdd4ca0a4fdfec11cb64ef30b7b192f99fba4affc&slot=0,Sandwiches,,
Hen House Nyc,https://www.yelp.com/adredir?ad_business_id=gHACeRXEx6m-OW79ZxEWRA&campaign_id=FPkSGoomGIzMoOMU8_L49Q&click_origin=search_results&placement=vertical_0&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fhen-house-nyc-new-york&request_id=b3b8edd8fcd5b87a&signature=93ef09a9e4961f4529911201b57b1a5a8b5992008eae6d16b217a7070ada158c&slot=1,"Food Stands, Lebanese, Sandwiches",,4.2
Dave’s Hot Chicken,https://www.yelp.com/biz/daves-hot-chicken-new-york-2?osq=Best+Halal+Restaurant,"Chicken Shop, Halal",Midtown West,4.3
Istanbul Kebab House,https://www.yelp.com/biz/istanbul-kebab-house-new-york?osq=Best+Halal+Restaurant,"Turkish, Halal, Mediterranean",Hell's Kitchen,4.1
Rowdy Rooster,https://www.yelp.com/biz/rowdy-rooster-new-york?osq=Best+Halal+Restaurant,"Indian, Chicken Shop",East Village,4.3
Meat Me BBQ,https://www.yelp.com/biz/meat-me-bbq-flushing?osq=Best+Halal+Restaurant,"Barbeque, Korean",Downtown Flushing,4.4
Yara,https://www.yelp.com/biz/yara-new-york-2?osq=Best+Halal+Restaurant,"Lebanese, Mediterranean, Cocktail Bars",Midtown East,4.2
Little Morocco,https://www.yelp.com/biz/little-morocco-new-york-2?osq=Best+Halal+Restaurant,Moroccan,Astoria,4.1
The Broski Grill,https://www.yelp.com/biz/the-broski-grill-new-york?osq=Best+Halal+Restaurant,"Halal, Burgers",,4.8
ilili Restaurant,https://www.yelp.com/biz/ilili-restaurant-new-york-3?osq=Best+Halal+Restaurant,"Mediterranean, Lebanese, Cocktail Bars",Flatiron,4.1
GOSHT,https://www.yelp.com/biz/gosht-brooklyn-4?osq=Best+Halal+Restaurant,"Steakhouses, Halal, Burgers",,3.8
Sami’s Kabab House,https://www.yelp.com/biz/samis-kabab-house-long-island-city-2?osq=Best+Halal+Restaurant,"Afghan, Halal, Tapas/Small Plates",Hunters Point,4.6
Shoo Shoo Nolita,https://www.yelp.com/adredir?ad_business_id=1hdwhb6kzLxL3Lt3PxoHKA&campaign_id=MA_VvWAC-nK5EAx9K2F7HQ&click_origin=search_results&placement=below_search&placement_slot=2&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fshoo-shoo-nolita-new-york&request_id=b3b8edd8fcd5b87a&signature=30235e45a9b067912fc8b8bebb5b2d76d4681c39090b6221dde8e5d65b3e3701&slot=0,Mediterranean,,4.1
The Drunken Munkey - UES,https://www.yelp.com/biz/the-drunken-munkey-ues-new-york?osq=Best+Halal+Restaurant,"Indian, Cocktail Bars",Yorkville,4.3
Moustache,https://www.yelp.com/biz/moustache-new-york-9?osq=Best+Halal+Restaurant,"Middle Eastern, Pizza, Sandwiches",West Village,4.1
Omar’s Mediterranean East Midtown,https://www.yelp.com/biz/omars-mediterranean-east-midtown-new-york?osq=Best+Halal+Restaurant,"Middle Eastern, Mediterranean, Salad",Midtown East,4.4
Zou Zou’s,https://www.yelp.com/biz/zou-zou-s-new-york-3?osq=Best+Halal+Restaurant,"Mediterranean, Cocktail Bars, New American",Chelsea,4.2
Shukette,https://www.yelp.com/biz/shukette-new-york?osq=Best+Halal+Restaurant,Middle Eastern,Chelsea,4.4
Tamarind,https://www.yelp.com/biz/tamarind-new-york-4?osq=Best+Halal+Restaurant,Indian,TriBeCa,3.9
Halal Garden Chinese Kitchen,https://www.yelp.com/biz/halal-garden-chinese-kitchen-brooklyn?osq=Best+Halal+Restaurant,"Halal, Chinese, Bubble Tea",,
Salma,https://www.yelp.com/biz/salma-new-york?osq=Best+Halal+Restaurant,"Lebanese, Breakfast & Brunch, Sandwiches",East Village,4.6
8-Bit Bites,https://www.yelp.com/biz/8-bit-bites-brooklyn-3?osq=Best+Halal+Restaurant,"Halal, Burgers, Sandwiches",,
Zizi,https://www.yelp.com/biz/zizi-new-york-3?osq=Best+Halal+Restaurant,"Mediterranean, Middle Eastern",,4.3
Ninjaki Halal Asian Kitchen,https://www.yelp.com/biz/ninjaki-halal-asian-kitchen-brooklyn-4?osq=Best+Halal+Restaurant,"Halal, Food Trucks, Asian Fusion",,4.3
Peri Peri Grill House,https://www.yelp.com/biz/peri-peri-grill-house-brooklyn?osq=Best+Halal+Restaurant,"Halal, Portuguese, African",Bedford Stuyvesant,4.5
73 St Halal Food,https://www.yelp.com/biz/73-st-halal-food-queens?osq=Best+Halal+Restaurant,"Halal, Street Vendors",,
Modoo - Chicken & Noodle Bar,https://www.yelp.com/biz/modoo-chicken-and-noodle-bar-bayside?osq=Best+Halal+Restaurant,"Chicken Wings, Korean, Ramen",Bayside,4.1
Qanoon,https://www.yelp.com/biz/qanoon-new-york-3?osq=Best+Halal+Restaurant,"Middle Eastern, Mediterranean, Sandwiches",Chelsea,4.2
Red Lobster,https://www.yelp.com/adredir?ad_business_id=lLssi1xJGFsNWps45I3ywg&campaign_id=hxjjz8drC0FEsw-tdNmvPg&click_origin=search_results&placement=below_search&placement_slot=2&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fred-lobster-new-york-2&request_id=465996dfc2d83fb7&signature=55c92d0e912e4e23f323a674f0ab05f16942f4aedcaf517c008e9af5b988dae3&slot=0,"Seafood, American",,2.8
Birria LES,https://www.yelp.com/biz/birria-les-new-york?osq=Best+Halal+Restaurant,"Halal, Tacos",Lower East Side,4.1
Junoon,https://www.yelp.com/biz/junoon-new-york?osq=Best+Halal+Restaurant,"Indian, Desserts, Cocktail Bars",Flatiron,3.7
Yemen Cafe & Restaurant,https://www.yelp.com/biz/yemen-cafe-and-restaurant-brooklyn-3?osq=Best+Halal+Restaurant,"Middle Eastern, Cafes, Soup",Cobble Hill,4.4
AnTalia NYC,https://www.yelp.com/biz/antalia-nyc-new-york-3?osq=Best+Halal+Restaurant,"Turkish, Mediterranean, Halal",Midtown West,3.9
Meet N Eat,https://www.yelp.com/biz/meet-n-eat-brooklyn?osq=Best+Halal+Restaurant,"Burgers, Fast Food, Halal",,3.9
Mediterranean Halal Food,https://www.yelp.com/biz/mediterranean-halal-food-queens?osq=Best+Halal+Restaurant,"Food Trucks, Halal, Mediterranean",,
Kame,https://www.yelp.com/biz/kame-new-york-2?osq=Best+Halal+Restaurant,"Ramen, Japanese Curry, Salad",Chelsea,4.5
Holy Cow,https://www.yelp.com/biz/holy-cow-new-york-4?osq=Best+Halal+Restaurant,"Burgers, Hot Dogs, Fast Food",Lower East Side,4.2
Halal-N-out,https://www.yelp.com/biz/halal-n-out-brooklyn?osq=Best+Halal+Restaurant,"Halal, Mediterranean, American",,4.4
Mezeh,https://www.yelp.com/biz/mezeh-mediterranean-grill-new-york-6?osq=Best+Halal+Restaurant,"Mediterranean, Salad, Halal",,4.4
Döner Haus,https://www.yelp.com/biz/d%C3%B6ner-haus-new-york?osq=Best+Halal+Restaurant,"Kebab, German, Halal",East Village,4.2
Uyghur Lagman House,https://www.yelp.com/biz/uyghur-lagman-house-rego-park?osq=Best+Halal+Restaurant,"Halal, Chinese, Kebab",,4.7
Kebab Express,https://www.yelp.com/biz/kebab-express-new-york?osq=Best+Halal+Restaurant,"Kebab, Halal",,4.8
Nur Thai,https://www.yelp.com/biz/nur-thai-astoria?osq=Best+Halal+Restaurant,"Thai, Halal",,4.1
Shah’s Halal Food,https://www.yelp.com/biz/shahs-halal-food-sunnyside-ny-11104?osq=Best+Halal+Restaurant,"Halal, Middle Eastern, Sandwiches",,
Adel’s Famous Halal Food,https://www.yelp.com/biz/adels-famous-halal-food-new-york?osq=Best+Halal+Restaurant,"Middle Eastern, Food Trucks, Halal",Theater District,4.5
Farida Central Asian Cuisine & Grill - Downtown,https://www.yelp.com/biz/farida-central-asian-cuisine-and-grill-downtown-new-york?osq=Best+Halal+Restaurant,"Uzbek, Halal, Ukrainian",,4.4
Darbar Grill,https://www.yelp.com/biz/darbar-grill-new-york?osq=Best+Halal+Restaurant,"Indian, Wine Bars, Caterers",Midtown East,
Halal Munchies,https://www.yelp.com/biz/halal-munchies-brooklyn?osq=Best+Halal+Restaurant,"Halal, Fast Food, Chicken Wings",,3.3
German Doner Kebab,https://www.yelp.com/biz/german-doner-kebab-astoria?osq=Best+Halal+Restaurant,"Kebab, Fast Food, Wraps",Astoria,3.2
Halal Hut,https://www.yelp.com/biz/halal-hut-new-york?osq=Best+Halal+Restaurant,Halal,,
Betong - Khao Man Gai,https://www.yelp.com/biz/betong-khao-man-gai-new-york?osq=Best+Halal+Restaurant,"Thai, Halal",SoHo,4.6
Tengri Tagh Uyghur Cuisine,https://www.yelp.com/biz/tengri-tagh-uyghur-cuisine-new-york?osq=Best+Halal+Restaurant,"Chinese, Halal, Noodles",,4.5
Ravagh Persian Grill,https://www.yelp.com/biz/ravagh-persian-grill-new-york-2?osq=Best+Halal+Restaurant,"Middle Eastern, Persian/Iranian, Mediterranean",Murray Hill,
Dunya Kabab House,https://www.yelp.com/biz/dunya-kabab-house-brooklyn-2?osq=Best+Halal+Restaurant,"Afghan, Kebab",Flatbush,4.7
Adams Five Star Halal,https://www.yelp.com/biz/adams-five-star-halal-hoboken?osq=Best+Halal+Restaurant,"Halal, Food Trucks",,
La Grande Boucherie,https://www.yelp.com/biz/la-grande-boucherie-new-york-2?osq=Best+Halal+Restaurant,"French, Steakhouses, Cocktail Bars",Theater District,4.4
Ketchup,https://www.yelp.com/biz/ketchup-new-york-2?osq=Best+Halal+Restaurant,"Burgers, Salad, Halal",,3.9
Masala Times Greenwich Village,https://www.yelp.com/biz/masala-times-greenwich-village-new-york-9?osq=Best+Halal+Restaurant,"Indian, Comfort Food, Halal",Greenwich Village,
Fry Factory,https://www.yelp.com/biz/fry-factory-new-york?osq=Best+Halal+Restaurant,Halal,,
The Kati Roll,https://www.yelp.com/biz/the-kati-roll-new-york?osq=Best+Halal+Restaurant,"Indian, Halal",Greenwich Village,3.7
Meyhane,https://www.yelp.com/biz/meyhane-cliffside-park-4?osq=Best+Halal+Restaurant,"Turkish, Mediterranean, Tapas/Small Plates",,4.4
Fatima’s Halal Kitchen,https://www.yelp.com/biz/fatimas-halal-kitchen-jamaica-ny?osq=Best+Halal+Restaurant,"Chinese, Halal",Briarwood,3.9
Nargis Cafe,https://www.yelp.com/biz/nargis-cafe-brooklyn?osq=Best+Halal+Restaurant,"Middle Eastern, Uzbek, Halal",Sheepshead Bay,3.9
Amélie,https://www.yelp.com/biz/am%C3%A9lie-new-york?osq=Best+Halal+Restaurant,"French, Wine Bars",Greenwich Village,4.3
ABC Kitchen,https://www.yelp.com/biz/abc-kitchen-new-york?osq=Best+Halal+Restaurant,"Breakfast & Brunch, Cocktail Bars, Salad",Flatiron,4.1
Karam Restaurant,https://www.yelp.com/biz/karam-restaurant-brooklyn-2?osq=Best+Halal+Restaurant,"Middle Eastern, Halal",Bay Ridge,
B&D Halal Food,https://www.yelp.com/biz/b-and-d-halal-food-new-york?osq=Best+Halal+Restaurant,"African, Halal",Chelsea,4.4
Happy Malaysia Canteen,https://www.yelp.com/biz/happy-malaysia-canteen-new-york?osq=Best+Halal+Restaurant,"Malaysian, Halal",,
Pizza Express,https://www.yelp.com/biz/pizza-express-brooklyn-5?osq=Best+Halal+Restaurant,"Pizza, Halal, Chicken Wings",,4.5
Tarim Kitchen,https://www.yelp.com/biz/tarim-kitchen-brooklyn?osq=Best+Halal+Restaurant,"Kebab, Halal, Burgers",,
Halal Mania,https://www.yelp.com/biz/halal-mania-brooklyn?osq=Best+Halal+Restaurant,"Halal, Burgers, Chicken Wings",,4.7
Fevy’s Chicken,https://www.yelp.com/biz/fevys-chicken-elmhurst-4?osq=Best+Halal+Restaurant,"Korean, Chicken Shop",,4.5
Al Dar Halal Market,https://www.yelp.com/biz/al-dar-halal-market-queens?osq=Best+Halal+Restaurant,"Meat Shops, Grocery",,4.3
Nusr-Et Steakhouse,https://www.yelp.com/biz/nusr-et-steakhouse-new-york-4?osq=Best+Halal+Restaurant,"Steakhouses, Turkish",Midtown West,3.4
Tava Turkish and Mediterranean,https://www.yelp.com/biz/tava-turkish-and-mediterranean-brooklyn-2?osq=Best+Halal+Restaurant,"Turkish, Mediterranean",Park Slope,4.6
King Halal Food,https://www.yelp.com/biz/king-halal-food-brooklyn?osq=Best+Halal+Restaurant,Halal,,4.8
The Kati Roll Company,https://www.yelp.com/biz/the-kati-roll-company-new-york-5?osq=Best+Halal+Restaurant,"Indian, Halal",Midtown West,3.7
Shuka,https://www.yelp.com/biz/shuka-new-york-3?osq=Best+Halal+Restaurant,"Mediterranean, Cocktail Bars, Breakfast & Brunch",South Village,4.3
Ali Baba Mediterranean Cuisine,https://www.yelp.com/biz/ali-baba-mediterranean-cuisine-new-york-2?osq=Best+Halal+Restaurant,"Mediterranean, Halal, Turkish",,4.6
Blue Hour,https://www.yelp.com/biz/blue-hour-new-york?osq=Best+Halal+Restaurant,Halal,Brooklyn,4.8
Thai Nara Halal Restaurant,https://www.yelp.com/biz/thai-nara-halal-restaurant-woodside?osq=Best+Halal+Restaurant,"Thai, Halal",Woodside,4.5
Royal Grill Halal Food,https://www.yelp.com/biz/royal-grill-halal-food-new-york-2?osq=Best+Halal+Restaurant,"Halal, Food Trucks, Indian",New York,4.6
Yemeni Restaurant & Shawarma Mediterranean,https://www.yelp.com/biz/yemeni-restaurant-and-shawarma-mediterranean-new-york?osq=Best+Halal+Restaurant,"Mediterranean, Egyptian",Harlem,4.6
